Rótulo,Dirección,Precio,date
GALP,"CTRA. N-IV, P.K. 210, VALDEPEÑAS",2.139,20220614
GALP,"CTRA. N-IV, P.K. 210, VALDEPEÑAS",2.134,20220615
GALP,"CTRA. N-IV, P.K. 210, VALDEPEÑAS",2.154,20220616
GALP,"CTRA. N-IV, P.K. 210, VALDEPEÑAS",2.169,20220617
HAFESA OIL,"AVENIDA DE LOS ESTUDIANTES, 70, VALDEPEÑAS",1.929,20220609
HAFESA OIL,"AVENIDA DE LOS ESTUDIANTES, 70, VALDEPEÑAS",1.929,20220610
HAFESA OIL,"AVENIDA DE LOS ESTUDIANTES, 70, VALDEPEÑAS",1.929,20220611
HAFESA OIL,"AVENIDA DE LOS ESTUDIANTES, 70, VALDEPEÑAS",1.989,20220614
HAFESA OIL,"AVENIDA DE LOS ESTUDIANTES, 70, VALDEPEÑAS",2.019,20220615
HAFESA OIL,"AVENIDA DE LOS ESTUDIANTES, 70, VALDEPEÑAS",2.029,20220616
HAFESA OIL,"AVENIDA DE LOS ESTUDIANTES, 70, VALDEPEÑAS",2.029,20220617
MELLADO,"CARRETERA CM 412 KM. 92, VALDEPEÑAS",2.109,20220609
MELLADO,"CARRETERA CM 412 KM. 92, VALDEPEÑAS",2.109,20220610
MELLADO,"CARRETERA CM 412 KM. 92, VALDEPEÑAS",2.109,20220611
MELLADO,"CARRETERA CM 412 KM. 92, VALDEPEÑAS",2.109,20220614
MELLADO,"CARRETERA CM 412 KM. 92, VALDEPEÑAS",2.109,20220615
MELLADO,"CARRETERA CM 412 KM. 92, VALDEPEÑAS",2.109,20220616
MELLADO,"CARRETERA CM 412 KM. 92, VALDEPEÑAS",2.109,20220617
Q8,"AVENIDA DEL SUR, S/N, VALDEPEÑAS",2.029,20220609
Q8,"AVENIDA DEL SUR, S/N, VALDEPEÑAS",2.029,20220610
Q8,"AVENIDA DEL SUR, S/N, VALDEPEÑAS",2.029,20220611
Q8,"AVENIDA DEL SUR, S/N, VALDEPEÑAS",2.069,20220614
Q8,"AVENIDA DEL SUR, S/N, VALDEPEÑAS",2.069,20220615
Q8,"AVENIDA DEL SUR, S/N, VALDEPEÑAS",2.089,20220616
Q8,"AVENIDA DEL SUR, S/N, VALDEPEÑAS",2.089,20220617
REPSOL,"CL SEIS DE JUNIO, 247, VALDEPEÑAS",2.069,20220609
REPSOL,"CL SEIS DE JUNIO, 247, VALDEPEÑAS",2.069,20220610
REPSOL,"CL SEIS DE JUNIO, 247, VALDEPEÑAS",2.069,20220611
REPSOL,"CL SEIS DE JUNIO, 247, VALDEPEÑAS",2.099,20220614
REPSOL,"CL SEIS DE JUNIO, 247, VALDEPEÑAS",2.119,20220615
REPSOL,"CL SEIS DE JUNIO, 247, VALDEPEÑAS",2.139,20220616
REPSOL,"CL SEIS DE JUNIO, 247, VALDEPEÑAS",2.159,20220617
REPSOL,"CR CM-412, 84,8, VALDEPEÑAS",2.059,20220609
REPSOL,"CR CM-412, 84,8, VALDEPEÑAS",2.059,20220610
REPSOL,"CR CM-412, 84,8, VALDEPEÑAS",2.079,20220611
